"ID","Date","Reference Number","Description","Memo","Amount","Category Name"
253,5/3/2019 0:00:00,"131","HEFLING'S AMISH FA","PURCHASE            HEFLING'S AM",-34.52,
254,5/6/2019 0:00:00,"0","PANERA BREAD #600719","PURCHASE            PANERA BREAD",-42.37,
255,5/6/2019 0:00:00,"245064","MEIJER # 245","PURCHASE            MEIJER # 245",-13.34,
256,5/6/2019 0:00:00,"0","SQ *SQ *CORK & GABEL","PURCHASE            SQ *SQ *CORK",-61.56,
257,5/6/2019 0:00:00,"907420","KROGER FU 20705 13","PURCHASE            KROGER FU 20",-50.04,
258,5/6/2019 0:00:00,"63101","MEIJER # 063","PURCHASE            MEIJER # 063",-9.38,
259,5/6/2019 0:00:00,"0","SALLIE MAE BANK  AUTOPAY","SALLIE MAE BANK AUTOPAY   190503",-45.52,
260,5/7/2019 0:00:00,"0","JIMMY JOHNS - 2619","PURCHASE            JIMMY JOHNS",-6.35,
261,5/7/2019 0:00:00,"0","CULVERS OF ROSEVILLE","PURCHASE            CULVERS OF R",-5.66,
262,5/8/2019 0:00:00,"77425","KROGER #7 20891 E.","PURCHASE            KROGER #7 20",-8.84,
263,5/10/2019 0:00:00,"0","TROPICAL SMOOTHIE MI 3","PURCHASE            TROPICAL SMO",-10.58,
264,5/13/2019 0:00:00,"0","NINO SALVAGGIO - SCS","PURCHASE            NINO SALVAGG",-12.34,
265,5/13/2019 0:00:00,"728018","HARTLAND RURAL","PURCHASE            HARTLAND RUR",-26.01,
266,5/13/2019 0:00:00,"0","JIMMY JOHNS - 1239","PURCHASE            JIMMY JOHNS",-6.14,
267,5/15/2019 0:00:00,"0","NUCCI VETERINARY CLINI","PURCHASE            NUCCI VETERI",-106.00,
268,5/17/2019 0:00:00,"0","GA4631 CHURCH OF DIRDEP","GA4631 CHURCH OFDIRDEP    190517",294.35,
269,5/17/2019 0:00:00,"142001","BNCB-Clinton T","PURCHASE            BNCB-Clinton",-89.62,
270,5/20/2019 0:00:00,"0","AMZN MKTP US*MN60G1PN2","PURCHASE            AMZN MKTP US",-121.95,
271,5/20/2019 0:00:00,"63000","SPEEDWAY 08405 324","PURCHASE            SPEEDWAY 084",-1.05,
272,5/20/2019 0:00:00,"0","CULVER'S OF ROSEVI","PURCHASE            CULVER'S OF",-19.80,
273,5/20/2019 0:00:00,"142002","BNCB-Clinton T","PURCHASE            BNCB-Clinton",-227.11,
274,5/21/2019 0:00:00,"396001","DOLLAR TREE","PURCHASE            DOLLAR TREE",-2.12,
275,5/22/2019 0:00:00,"77411","KROGER #7 20891 E.","PURCHASE            KROGER #7 20",-6.03,
276,5/24/2019 0:00:00,"0","NINO SALVAGGIO - SCS","PURCHASE            NINO SALVAGG",-11.52,
277,5/28/2019 0:00:00,"727803","SUNOCO 0178961","PURCHASE            SUNOCO 01789",-2.64,
278,5/28/2019 0:00:00,"102",,"SUBSTITUTE CHECK",-1445.00,
279,5/31/2019 0:00:00,"0","GA4631 CHURCH OF DIRDEP","GA4631 CHURCH OFDIRDEP    190531",709.08,
280,6/3/2019 0:00:00,"0","TROPICAL SMOOTHIE","PURCHASE            TROPICAL SMO",-12.06,
281,6/3/2019 0:00:00,"5212","7-ELEVEN","PURCHASE            7-ELEVEN",-1.90,
282,6/4/2019 0:00:00,"0","JIMMY JOHNS - 2619","PURCHASE            JIMMY JOHNS",-12.71,
283,6/4/2019 0:00:00,"0","SALLIE MAE BANK  AUTOPAY","SALLIE MAE BANK AUTOPAY   190603",-45.51,
284,6/5/2019 0:00:00,"907417","KROGER FU 20705 13","PURCHASE            KROGER FU 20",-49.52,
285,6/5/2019 0:00:00,"63102","MEIJER # 063","PURCHASE            MEIJER # 063",-7.47,
286,6/6/2019 0:00:00,"0","SQ          *SQ *MCIF","PURCHASE            SQ",-70.00,
287,6/6/2019 0:00:00,"0","SQ          *SQ *MCIF","PURCHASE            SQ",-70.00,
288,6/6/2019 0:00:00,"0","CULVERS OF ROSEVILLE","PURCHASE            CULVERS OF R",-4.44,
289,6/7/2019 0:00:00,"63102","MEIJER # 063","PURCHASE            MEIJER # 063",-5.44,
290,6/10/2019 0:00:00,"0","1140 DOMINOS PIZZA","PURCHASE            1140 DOMINOS",-8.47,
291,6/10/2019 0:00:00,"600001","CLYDE ROAD","PURCHASE            CLYDE ROAD",-5.50,
292,6/10/2019 0:00:00,"245104","MEIJER # 245","PURCHASE            MEIJER # 245",-62.27,
293,6/10/2019 0:00:00,"5212","7-ELEVEN","PURCHASE            7-ELEVEN",-3.48,
294,6/10/2019 0:00:00,"77421","KROGER #7 20891 E.","PURCHASE            KROGER #7 20",-3.48,
295,6/11/2019 0:00:00,"0","JIMMY JOHNS - 2619","PURCHASE            JIMMY JOHNS",-6.46,
296,6/13/2019 0:00:00,"0","JERSEY MIKES 31025","PURCHASE            JERSEY MIKES",-16.57,
297,6/13/2019 0:00:00,"5212","7-ELEVEN","PURCHASE            7-ELEVEN",-2.11,
298,6/14/2019 0:00:00,"0","GA4631 CHURCH OF DIRDEP","GA4631 CHURCH OFDIRDEP    190614",173.68,
299,6/14/2019 0:00:00,"0","SUMMIT ORAL & MAXILLOF","PURCHASE            SUMMIT ORAL",-82.00,
300,6/14/2019 0:00:00,"213140","MEIJER # 213","PURCHASE            MEIJER # 213",-6.70,
301,6/17/2019 0:00:00,"341101","SHELL SERVICE S","PURCHASE            SHELL SERVIC",-2.44,
302,6/17/2019 0:00:00,"0","TAHQUAMENON TREASURES","PURCHASE            TAHQUAMENON",-7.95,
303,6/17/2019 0:00:00,"0","THE INN","PURCHASE            THE INN",-34.38,
304,6/17/2019 0:00:00,"0","TST* PICTURED ROCKS PI","PURCHASE            TST* PICTURE",-5.83,
305,6/21/2019 0:00:00,"0","SUBWAY        04027876","PURCHASE            SUBWAY",-5.40,
306,6/24/2019 0:00:00,"5212","7-ELEVEN","PURCHASE            7-ELEVEN",-2.11,
307,6/24/2019 0:00:00,"0","THE COPPER PENNY","PURCHASE            THE COPPER P",-23.62,
308,6/24/2019 0:00:00,"0","TROPICAL SMOOTHIE","PURCHASE            TROPICAL SMO",-6.35,
309,6/25/2019 0:00:00,"0","TROPICAL SMOOTHIE MI 3","PURCHASE            TROPICAL SMO",-10.58,
310,6/28/2019 0:00:00,"0","GA4631 CHURCH OF DIRDEP","GA4631 CHURCH OFDIRDEP    190628",283.38,
311,6/28/2019 0:00:00,"0","1140 DOMINOS PIZZA","PURCHASE            1140 DOMINOS",-8.47,
312,7/1/2019 0:00:00,"5212","7-ELEVEN","PURCHASE            7-ELEVEN",-2.11,
313,7/1/2019 0:00:00,"0","TROPICAL SMOOTHIE MI 3","PURCHASE            TROPICAL SMO",-22.22,
314,7/1/2019 0:00:00,"0","CULVERS OF ROSEVILLE","PURCHASE            CULVERS OF R",-5.40,
315,7/5/2019 0:00:00,"0","TROPICAL SMOOTHIE MI 3","PURCHASE            TROPICAL SMO",-22.11,
316,7/5/2019 0:00:00,"0","SALLIE MAE BANK  AUTOPAY","SALLIE MAE BANK AUTOPAY   190703",-45.51,
317,7/8/2019 0:00:00,"0","TROPICAL SMOOTHIE MI 3","PURCHASE            TROPICAL SMO",-10.90,
318,7/8/2019 0:00:00,"77421","KROGER #7 20891 E.","PURCHASE            KROGER #7 20",-16.44,
319,7/8/2019 0:00:00,"77425","KROGER #7 20891 E.","PURCHASE            KROGER #7 20",-2.19,
320,7/8/2019 0:00:00,"0","1140 DOMINOS PIZZA","PURCHASE            1140 DOMINOS",-8.47,
321,7/12/2019 0:00:00,"0","GA4631 CHURCH OF DIRDEP","GA4631 CHURCH OFDIRDEP    190712",195.64,
322,7/12/2019 0:00:00,"5212","7-ELEVEN","PURCHASE            7-ELEVEN",-1.90,
323,7/15/2019 0:00:00,"0","TROPICAL SMOOTHIE MI 3","PURCHASE            TROPICAL SMO",-5.28,
324,7/15/2019 0:00:00,"0","TACO BELL 313000313023","PURCHASE            TACO BELL 31",-8.46,
325,7/15/2019 0:00:00,"0","TACO BELL 333700333765","PURCHASE            TACO BELL 33",-10.57,
326,7/15/2019 0:00:00,"5212","7-ELEVEN","PURCHASE            7-ELEVEN",-1.90,
327,7/17/2019 0:00:00,"77404","KROGER #7 20891 E.","PURCHASE            KROGER #7 20",-5.91,
328,7/17/2019 0:00:00,"77404","KROGER #7 20891 E.","PURCHASE            KROGER #7 20",-41.00,
329,7/18/2019 0:00:00,"0","TROPICAL SMOOTHIE MI 3","PURCHASE            TROPICAL SMO",-5.29,
330,7/18/2019 0:00:00,"0","AMZN MKTP US*MH3AB7RF1","PURCHASE            AMZN MKTP US",-13.99,
331,7/22/2019 0:00:00,"0","AMZN MKTP US*MA1D30F02","PURCHASE            AMZN MKTP US",-36.94,
332,7/22/2019 0:00:00,"0","TROPICAL SMOOTHIE MI 3","PURCHASE            TROPICAL SMO",-5.29,
333,7/22/2019 0:00:00,"0","HARTLAND BIG BOY INC","PURCHASE            HARTLAND BIG",-44.23,
334,7/22/2019 0:00:00,"228501","SHELL SERVICE","PURCHASE            SHELL SERVIC",-2.89,
335,7/22/2019 0:00:00,"0","TST* GUS S CARRYOUT -","PURCHASE            TST* GUS S C",-5.03,
336,7/24/2019 0:00:00,"4359","HUNTINGTON ATM CASH WITHDRAWAL","HUNTINGTON ATM CASH WITHDRAWAL",-40.00,
337,7/25/2019 0:00:00,"0","EL PATRON","PURCHASE            EL PATRON",-21.00,
338,7/25/2019 0:00:00,"396101","MS FUELS","PURCHASE            MS FUELS",-40.00,
339,7/26/2019 0:00:00,"0","GA4631 CHURCH OF DIRDEP","GA4631 CHURCH OFDIRDEP    190726",105.22,
340,7/29/2019 0:00:00,"0","1140 DOMINOS PIZZA","PURCHASE            1140 DOMINOS",-8.47,
341,7/29/2019 0:00:00,"5212","7-ELEVEN","PURCHASE            7-ELEVEN",-4.10,
342,7/29/2019 0:00:00,"0","DISCOVER         E-PAYMENT","DISCOVER        E-PAYMENT 190726",-20.94,
343,8/1/2019 0:00:00,"0","TROPICAL SMOOTHIE MI 3","PURCHASE            TROPICAL SMO",-5.29,
344,8/5/2019 0:00:00,"0","TACO BELL #27361","PURCHASE            TACO BELL #2",-4.34,
345,8/5/2019 0:00:00,"0","TROPICAL SMOOTHIE MI 3","PURCHASE            TROPICAL SMO",-17.14,
346,8/5/2019 0:00:00,"0","SVS VISION 02 BRIGHTON","PURCHASE            SVS VISION 0",-316.57,
347,8/5/2019 0:00:00,"12","MEIJER 245 2160 HA","PURCHASE            MEIJER 245 2",-10.27,
348,8/5/2019 0:00:00,"0","TROPICAL SMOOTHIE","PURCHASE            TROPICAL SMO",-6.13,
349,8/5/2019 0:00:00,"0","EL PATRON","PURCHASE            EL PATRON",-61.98,
350,8/5/2019 0:00:00,"0","SALLIE MAE BANK  AUTOPAY","SALLIE MAE BANK AUTOPAY   190802",-45.51,
351,8/6/2019 0:00:00,"142001","BNCB-Clinton T","PURCHASE            BNCB-Clinton",-652.56,
352,8/8/2019 0:00:00,"0","TROPICAL SMOOTHIE MI 3","PURCHASE            TROPICAL SMO",-5.29,
353,8/9/2019 0:00:00,"0","GA4631 CHURCH OF DIRDEP","GA4631 CHURCH OFDIRDEP    190809",283.39,
354,8/12/2019 0:00:00,"174122711",,"MOBILE CHECK DEPOSIT",1500.00,
355,8/12/2019 0:00:00,"0","U-HAUL ROSEVILLE","PURCHASE            U-HAUL ROSEV",-20.09,
356,8/12/2019 0:00:00,"0","TACO BELL #27361","PURCHASE            TACO BELL #2",-6.02,
357,8/12/2019 0:00:00,"5212","7-ELEVEN","PURCHASE            7-ELEVEN",-2.11,
358,8/12/2019 0:00:00,"0","AMZN MKTP US*MA1N89BX0","PURCHASE            AMZN MKTP US",-127.32,
359,8/12/2019 0:00:00,"0","AMZN MKTP US*MA7EH5KV1","PURCHASE            AMZN MKTP US",-41.92,
360,8/13/2019 0:00:00,"0","SUMMIT ORAL & MAXILLOF","PURCHASE            SUMMIT ORAL",-320.00,
361,8/13/2019 0:00:00,"907420","KROGER FU 20705 13","PURCHASE            KROGER FU 20",-51.92,
362,8/13/2019 0:00:00,"5","MEIJER 063 30800 L","PURCHASE            MEIJER 063 3",-109.37,
363,8/14/2019 0:00:00,"0","NINO SALVAGGIO - SCS","PURCHASE            NINO SALVAGG",-37.28,
364,8/14/2019 0:00:00,"0","AMZN MKTP US*MA9C296G0","PURCHASE            AMZN MKTP US",-36.08,
365,8/15/2019 0:00:00,"0","TACO BELL 313000313023","PURCHASE            TACO BELL 31",-12.90,
366,8/15/2019 0:00:00,"0","KABOB CASTLE LLC","PURCHASE            KABOB CASTLE",-13.76,
367,8/15/2019 0:00:00,"0","VZWRLSS*MY VZ VN P","PURCHASE            VZWRLSS*MY V",-114.84,
368,8/15/2019 0:00:00,"0","COMCAST","PURCHASE            COMCAST",-81.20,
369,8/19/2019 0:00:00,"0","TROPICAL SMOOTHIE MI 3","PURCHASE            TROPICAL SMO",-5.29,
370,8/19/2019 0:00:00,"0","TACO BELL #27361","PURCHASE            TACO BELL #2",-7.50,
371,8/19/2019 0:00:00,"843101","BP#8694135HUNT","PURCHASE            BP#8694135HU",-1.99,
372,8/19/2019 0:00:00,"5212","7-ELEVEN","PURCHASE            7-ELEVEN",-1.58,
373,8/23/2019 0:00:00,"0","GA4631 CHURCH OF DIRDEP","GA4631 CHURCH OFDIRDEP    190823",376.63,
374,8/26/2019 0:00:00,"0","THE SUGAR HOUSE","PURCHASE            THE SUGAR HO",-69.96,
375,8/26/2019 0:00:00,"0","CHIEF #107","PURCHASE            CHIEF #107",-5.39,
376,8/26/2019 0:00:00,"0","EPIC VAPES - LIMA","PURCHASE            EPIC VAPES -",-42.69,
377,8/28/2019 0:00:00,"0","JERSEY MIKES 31025","PURCHASE            JERSEY MIKES",-13.94,
378,8/29/2019 0:00:00,"0","CULVERS OF ROSEVILLE","PURCHASE            CULVERS OF R",-4.71,
379,8/29/2019 0:00:00,"761","KOHLS 0007","PURCHASE            KOHLS 0007",-19.07,
380,8/30/2019 0:00:00,"0",,"MERCHANDISE RET     AMZN MKTP US",36.08,
381,8/30/2019 0:00:00,"14","MEIJER 063 30800 L","PURCHASE            MEIJER 063 3",-7.39,
382,8/30/2019 0:00:00,"0","DISCOVER         E-PAYMENT","DISCOVER        E-PAYMENT 190829",-6.02,
383,9/3/2019 0:00:00,"0",,"MERCHANDISE RET     BNCB-CLINTON",652.56,
384,9/3/2019 0:00:00,"0","JERSEY MIKES 31025","PURCHASE            JERSEY MIKES",-13.94,
385,9/3/2019 0:00:00,"0","HARTLAND RURAL KING","PURCHASE            HARTLAND RUR",-1.05,
386,9/3/2019 0:00:00,"0","TST* IMA 1","PURCHASE            TST* IMA 1",-33.92,
387,9/4/2019 0:00:00,"0","JERSEY MIKES 31025","PURCHASE            JERSEY MIKES",-14.26,
388,9/4/2019 0:00:00,"0","SALLIE MAE BANK  AUTOPAY","SALLIE MAE BANK AUTOPAY   190903",-45.51,
389,9/6/2019 0:00:00,"0","TACO BELL #27361","PURCHASE            TACO BELL #2",-4.34,
390,9/9/2019 0:00:00,"0","GRAND AZTECA III","PURCHASE            GRAND AZTECA",-27.03,
391,9/9/2019 0:00:00,"815178","GOOD TIME PROD","PURCHASE            GOOD TIME PR",-31.79,
392,9/10/2019 0:00:00,"0","GRAND AZTECA III","PURCHASE            GRAND AZTECA",-26.03,
393,9/11/2019 0:00:00,"0","JERSEY MIKES 31025","PURCHASE            JERSEY MIKES",-14.26,
394,9/13/2019 0:00:00,"0","BKR REFUND       REFUND","BKR REFUND      REFUND    190912",635.22,
395,9/13/2019 0:00:00,"5212","7-ELEVEN","PURCHASE            7-ELEVEN",-1.69,
396,9/13/2019 0:00:00,"77414","KROGER #7 20891 E.","PURCHASE            KROGER #7 20",-2.40,
397,9/16/2019 0:00:00,"0","MARKET@WORK 2067379149","PURCHASE            MARKET@WORK",-3.78,
398,9/16/2019 0:00:00,"0","MARKET@WORK 2067379149","PURCHASE            MARKET@WORK",-1.79,
399,9/16/2019 0:00:00,"0","TACO BELL 333700333765","PURCHASE            TACO BELL 33",-8.46,
400,9/16/2019 0:00:00,"55155","SPEEDWAY  10070 HI","PURCHASE            SPEEDWAY  10",-4.27,
401,9/16/2019 0:00:00,"0","RED ROBIN ROSEVILLE","PURCHASE            RED ROBIN RO",-20.06,
402,9/16/2019 0:00:00,"5212","7-ELEVEN","PURCHASE            7-ELEVEN",-1.58,
403,9/20/2019 0:00:00,"0","JERSEY MIKES 31025","PURCHASE            JERSEY MIKES",-14.26,
404,9/20/2019 0:00:00,"0","NINO SALVAGGIO - SCS","PURCHASE            NINO SALVAGG",-7.42,
405,9/23/2019 0:00:00,"0","MARKET@WORK 2067379149","PURCHASE            MARKET@WORK",-1.79,
406,9/23/2019 0:00:00,"5212","7-ELEVEN","PURCHASE            7-ELEVEN",-1.69,
407,9/26/2019 0:00:00,"2019","VAPE BOYS III","PURCHASE            VAPE BOYS II",-43.43,
408,9/26/2019 0:00:00,"5212","7-ELEVEN","PURCHASE            7-ELEVEN",-2.11,
409,9/26/2019 0:00:00,"0","DISCOVER         E-PAYMENT","DISCOVER        E-PAYMENT 190925",-14.72,
410,9/27/2019 0:00:00,"0","JIMMY JOHNS - 2619","PURCHASE            JIMMY JOHNS",-12.71,
411,9/30/2019 0:00:00,"0","MARKET@WORK 2067379149","PURCHASE            MARKET@WORK",-7.28,
412,9/30/2019 0:00:00,"77403","KROGER #7 20891 E.","PURCHASE            KROGER #7 20",-4.56,
413,9/30/2019 0:00:00,"5212","7-ELEVEN","PURCHASE            7-ELEVEN",-2.11,
414,9/30/2019 0:00:00,"5212","7-ELEVEN","PURCHASE            7-ELEVEN",-1.90,
415,10/2/2019 0:00:00,"0","JERSEY MIKES 31025","PURCHASE            JERSEY MIKES",-14.26,
416,10/4/2019 0:00:00,"0","SALLIE MAE BANK  AUTOPAY","SALLIE MAE BANK AUTOPAY   191003",-45.51,
417,10/7/2019 0:00:00,"0","MARKET@WORK 2067379149","PURCHASE            MARKET@WORK",-1.79,
418,10/7/2019 0:00:00,"5212","7-ELEVEN","PURCHASE            7-ELEVEN",-1.90,
419,10/7/2019 0:00:00,"0","RED ROBIN ROSEVILLE","PURCHASE            RED ROBIN RO",-19.06,
420,10/10/2019 0:00:00,"5212","7-ELEVEN","PURCHASE            7-ELEVEN",-2.11,
421,10/10/2019 0:00:00,"77424","KROGER #7 20891 E.","PURCHASE            KROGER #7 20",-4.46,
422,10/11/2019 0:00:00,"4","MEIJER 063 30800 L","PURCHASE            MEIJER 063 3",-38.99,
423,10/11/2019 0:00:00,"131","HEFLING'S AMIS","PURCHASE            HEFLING'S AM",-30.14,
424,10/11/2019 0:00:00,"77413","KROGER #7 20891 E.","PURCHASE            KROGER #7 20",-4.22,
425,10/15/2019 0:00:00,"0","TACO BELL 313000313023","PURCHASE            TACO BELL 31",-12.69,
426,10/17/2019 0:00:00,"200494","HARPER LIQUOR","PURCHASE            HARPER LIQUO",-26.49,
427,10/17/2019 0:00:00,"270301","MBL OF ROSEVILL","PURCHASE            MBL OF ROSEV",-31.45,
428,10/18/2019 0:00:00,"5212","7-ELEVEN","PURCHASE            7-ELEVEN",-2.22,
429,10/18/2019 0:00:00,"5212","7-ELEVEN","PURCHASE            7-ELEVEN",-1.69,
430,10/21/2019 0:00:00,"0","MARKET@WORK 2067379149","PURCHASE            MARKET@WORK",-1.79,
431,10/21/2019 0:00:00,"2","MEIJER 245 2160 HA","PURCHASE            MEIJER 245 2",-20.75,
432,10/21/2019 0:00:00,"0","HARTLAND BIG BOY INC","PURCHASE            HARTLAND BIG",-42.76,
433,10/21/2019 0:00:00,"55155","SPEEDWAY  10070 HI","PURCHASE            SPEEDWAY  10",-1.86,
434,10/21/2019 0:00:00,"5212","7-ELEVEN","PURCHASE            7-ELEVEN",-1.69,
435,10/21/2019 0:00:00,"5212","7-ELEVEN","PURCHASE            7-ELEVEN",-1.90,
436,10/21/2019 0:00:00,"77415","KROGER #7 20891 E.","PURCHASE            KROGER #7 20",-6.19,
437,10/23/2019 0:00:00,"5212","7-ELEVEN","PURCHASE            7-ELEVEN",-4.87,
438,10/24/2019 0:00:00,"0","TACO BELL 313000313023","PURCHASE            TACO BELL 31",-10.57,
439,10/24/2019 0:00:00,"0","LITTLE CAESARS 1288 00","PURCHASE            LITTLE CAESA",-5.30,
440,10/24/2019 0:00:00,"5212","7-ELEVEN","PURCHASE            7-ELEVEN",-2.11,
441,10/25/2019 0:00:00,"0","JERSEY MIKES 31025","PURCHASE            JERSEY MIKES",-14.26,
442,10/25/2019 0:00:00,"0","NINO SALVAGGIO - SCS","PURCHASE            NINO SALVAGG",-15.14,
443,10/30/2019 0:00:00,"0","MEIJER 063 30800 L","PURCHASE            MEIJER 063 3",-17.26,
444,10/31/2019 0:00:00,"88396","SPEEDWAY  20731 E","PURCHASE            SPEEDWAY  20",-1.58,
445,11/4/2019 0:00:00,"181472005",,"MOBILE CHECK DEPOSIT",22.00,
446,11/4/2019 0:00:00,"0","GRAND AZTECA III","PURCHASE            GRAND AZTECA",-18.41,
447,11/4/2019 0:00:00,"5","MEIJER 063 30800 L","PURCHASE            MEIJER 063 3",-25.94,
448,11/4/2019 0:00:00,"0","JETS PIZZA - MI-083","PURCHASE            JETS PIZZA -",-30.60,
449,11/5/2019 0:00:00,"0","TIM HORTONS #913743","PURCHASE            TIM HORTONS",-27.07,
450,11/5/2019 0:00:00,"0","1163 DOMINOS PIZZA","PURCHASE            1163 DOMINOS",-32.81,
451,11/5/2019 0:00:00,"0","SALLIE MAE BANK  AUTOPAY","SALLIE MAE BANK AUTOPAY   191103",-45.51,
452,11/7/2019 0:00:00,"5212","7-ELEVEN","PURCHASE            7-ELEVEN",-1.47,
453,11/12/2019 0:00:00,"0","TACO BELL 313000313023","PURCHASE            TACO BELL 31",-10.57,
454,11/14/2019 0:00:00,"0","BKR REFUND       REFUND","BKR REFUND      REFUND    191113",500.00,
455,11/15/2019 0:00:00,"0","GRAND AZTECA III","PURCHASE            GRAND AZTECA",-14.70,
456,11/18/2019 0:00:00,"0","AMZN MKTP US*0J74X6GT3","PURCHASE            AMZN MKTP US",-22.58,
457,11/18/2019 0:00:00,"0","QDOBA 2742","PURCHASE            QDOBA 2742",-16.85,
458,11/18/2019 0:00:00,"5212","7-ELEVEN","PURCHASE            7-ELEVEN",-1.69,
459,11/19/2019 0:00:00,"5212","7-ELEVEN","PURCHASE            7-ELEVEN",-2.11,
460,11/20/2019 0:00:00,"142001","BNCB-Clinton T","PURCHASE            BNCB-Clinton",-29.66,
461,11/22/2019 0:00:00,"0","JERSEY MIKES 31025","PURCHASE            JERSEY MIKES",-14.26,
462,11/25/2019 0:00:00,"5212","7-ELEVEN","PURCHASE            7-ELEVEN",-1.90,
463,11/26/2019 0:00:00,"5212","7-ELEVEN","PURCHASE            7-ELEVEN",-1.69,
464,11/26/2019 0:00:00,"270301","MBL OF ROSEVILL","PURCHASE            MBL OF ROSEV",-7.20,
465,11/26/2019 0:00:00,"0","DISCOVER         E-PAYMENT","DISCOVER        E-PAYMENT 191125",-101.58,
466,12/2/2019 0:00:00,"88396","SPEEDWAY  20731 E","PURCHASE            SPEEDWAY  20",-5.25,
467,12/4/2019 0:00:00,"0","BOMMARITOS BAKERY","PURCHASE            BOMMARITOS B",-12.45,
468,12/4/2019 0:00:00,"0","SALLIE MAE BANK  AUTOPAY","SALLIE MAE BANK AUTOPAY   191203",-45.51,
469,12/6/2019 0:00:00,"0","TIM HORTONS #914345","PURCHASE            TIM HORTONS",-7.99,
470,12/9/2019 0:00:00,"0","JIMMY JOHNS - 2619","PURCHASE            JIMMY JOHNS",-12.71,
471,12/11/2019 0:00:00,"0","GRAND AZTECA III","PURCHASE            GRAND AZTECA",-13.23,
472,12/11/2019 0:00:00,"0","1163 DOMINOS PIZZA","PURCHASE            1163 DOMINOS",-8.47,
473,12/12/2019 0:00:00,"105157","MEIJER #  27255 23","PURCHASE            MEIJER #  27",-28.13,
474,12/12/2019 0:00:00,"840354","LANE 3","PURCHASE            LANE 3",-38.11,
475,12/12/2019 0:00:00,"712","KOHLS 0007","PURCHASE            KOHLS 0007",-26.49,
476,12/13/2019 0:00:00,"0","TIM HORTONS #914345","PURCHASE            TIM HORTONS",-4.39,
477,12/13/2019 0:00:00,"0","CICCARELLIS SPORTS BAR","PURCHASE            CICCARELLIS",-6.35,
478,12/13/2019 0:00:00,"0","JERSEY MIKES 31025","PURCHASE            JERSEY MIKES",-14.26,
479,12/16/2019 0:00:00,"835901","BP#8644874ES #","PURCHASE            BP#8644874ES",-3.50,
480,12/16/2019 0:00:00,"0","1094 DOMINOS PIZZA","PURCHASE            1094 DOMINOS",-16.94,
481,12/16/2019 0:00:00,"55155","SPEEDWAY  10070 HI","PURCHASE            SPEEDWAY  10",-7.20,
482,12/16/2019 0:00:00,"6","MEIJER 063 30800 L","PURCHASE            MEIJER 063 3",-166.84,
483,12/17/2019 0:00:00,"0","NINO SALVAGGIO - SCS","PURCHASE            NINO SALVAGG",-24.27,
484,12/18/2019 0:00:00,"0","BIG APPLE BAGELS","PURCHASE            BIG APPLE BA",-12.81,
485,12/19/2019 0:00:00,"5212","7-ELEVEN","PURCHASE            7-ELEVEN",-2.11,
486,12/23/2019 0:00:00,"0","BKR REFUND       REFUND","BKR REFUND      REFUND    191220",150.00,
487,12/23/2019 0:00:00,"809101","CVS/PHARM 08091--3","PURCHASE            CVS/PHARM 08",-7.06,
488,12/23/2019 0:00:00,"5212","7-ELEVEN","PURCHASE            7-ELEVEN",-2.11,
489,12/23/2019 0:00:00,"396001","DOLLAR TREE","PURCHASE            DOLLAR TREE",-6.30,
490,12/26/2019 0:00:00,"0","TIM HORTONS #914345","PURCHASE            TIM HORTONS",-30.00,
491,12/30/2019 0:00:00,"0","NINO SALVAGGIO - SCS","PURCHASE            NINO SALVAGG",-18.86,
492,12/30/2019 0:00:00,"5212","7-ELEVEN","PURCHASE            7-ELEVEN",-2.11,
493,12/30/2019 0:00:00,"0","JIMMY JOHNS - 2619","PURCHASE            JIMMY JOHNS",-34.53,
494,12/30/2019 0:00:00,"0","JIMMY JOHNS - 2619","PURCHASE            JIMMY JOHNS",-12.71,
495,12/30/2019 0:00:00,"11","MEIJER 063 30800 L","PURCHASE            MEIJER 063 3",-34.95,
496,12/31/2019 0:00:00,"0","DISCOVER         E-PAYMENT","DISCOVER        E-PAYMENT 191230",-22.18,
497,1/2/2020 0:00:00,"5212","7-ELEVEN","PURCHASE            7-ELEVEN",-2.11,
498,1/6/2020 0:00:00,"0","AMZN MKTP US*X277C5M13","PURCHASE            AMZN MKTP US",-31.77,
499,1/6/2020 0:00:00,"0","AMZN MKTP US*9W8118YL3","PURCHASE            AMZN MKTP US",-140.74,
500,1/6/2020 0:00:00,"5212","7-ELEVEN","PURCHASE            7-ELEVEN",-2.11,
501,1/6/2020 0:00:00,"5212","7-ELEVEN","PURCHASE            7-ELEVEN",-2.11,
502,1/6/2020 0:00:00,"502001","DSW GRATI 30777 GR","PURCHASE            DSW GRATI 30",-52.99,
503,1/6/2020 0:00:00,"0","SALLIE MAE BANK  AUTOPAY","SALLIE MAE BANK AUTOPAY   200103",-45.51,
504,1/7/2020 0:00:00,"308021","WALGREENS 32201 HA","PURCHASE            WALGREENS 32",-11.65,
505,1/8/2020 0:00:00,"142001","BNCB-Clinton T","PURCHASE            BNCB-Clinton",-250.37,
506,1/13/2020 0:00:00,"0","GRAND AZTECA III","PURCHASE            GRAND AZTECA",-23.00,
507,1/14/2020 0:00:00,"0","CULVERS OF ROSEVILLE","PURCHASE            CULVERS OF R",-8.89,
508,1/17/2020 0:00:00,"0","CULVERS OF ROSEVILLE","PURCHASE            CULVERS OF R",-5.77,
